ID,CS_early,CXS_early,CS_late,CXS_late
2009,1.497921199,1.976105779,2.136825889,2.418747336
2054,0.774603546,1.594751447,2.682234585,1.904299438
2072,0.827429473,1.566908509,0.171193004,1.37160027
2081,1.242506325,0.347725421,1.521624893,0.479814023
3024,6.275920987,6.812217772,6.25273934,6.949904561
3036,0.819233537,1.012893409,1.013592303,0.988428801
3054,0.792132318,0.140366971,0.74690792,0.518164843
4005,6.472789049,6.938814282,6.610125452,6.709229589
4010,2.650489658,3.346005768,5.8699525,5.827048928
5065,6.114185214,2.194585651,6.25459522,2.017246276
5104,2.063152581,1.195436954,1.926959634,1.347315222
6016,1.000453413,4.903196365,1.017442048,4.908284694
6064,0.84162131,0.726514935,1.050939411,0.630859464
6066,5.061185628,5.032578349,5.181691498,3.166152596
7072,2.977296352,3.056974322,4.2829023,4.278674841
8028,0.99333322,0.642536938,1.307943404,0.554966867
8035,7.12433821,3.363246918,7.128486395,6.253366411
8063,1.964567274,2.09655118,1.714085728,4.698850363
8070,1.096219093,0.336677402,3.184877276,0.506331205
9377,2.957900494,2.194585651,5.649957031,3.564260811
