,ID,dprime_N2,dprime_N2,dprime_N3,dprime_N3,dprime_N4,dprime_N4,dprime_N5,dprime_N5,dprime_N6,dprime_N6
0,2009,1.147433996,2.450564682,1.722509354,1.202349365,1.429410964,0.694254041,1.497921199,1.976105779,1.288549036,1.742109686
1,2054,2.450564682,7.465233743,1.378940552,1.783156961,1.133175373,2.223611534,0.774603546,1.594751447,0.908259898,0.788768649
2,2072,11.99999991,1.56300652,2.646717221,2.015532643,1.579481184,1.785261422,0.827429473,1.566908509,0.804877639,1.021465123
3,2081,6.565948784,11.99999991,1.914764106,3.557787806,0.662893295,1.871673614,1.242506325,0.347725421,1.719848156,0.523665369
4,3024,11.99999991,11.99999991,11.99999991,7.644853592,2.223611534,3.124872744,6.275920987,6.812217772,1.798185021,2.114508212
5,3036,11.99999991,11.99999991,1.662539274,1.477152675,1.523948193,0.566976607,0.819233537,1.012893409,0.29814747,0.752500713
6,3054,7.382994086,11.99999991,1.565643936,0,0.848417222,1.798185021,0.792132318,0.140366971,0.433181494,0.338403583
7,4005,11.99999991,11.99999991,3.582897037,3.239712507,6.472789049,2.37577799,6.472789049,6.938814282,6.104633421,1.721796602
8,4010,11.99999991,11.99999991,7.28155151,11.99999991,3.363246918,3.363246918,2.650489658,3.346005768,1.720276147,2.650489658
9,5065,7.382994086,7.4260768,6.674489737,2.538567781,2.183296949,6.781033784,6.114185214,2.194585651,1.964567274,6.210428327
10,5104,11.99999991,11.99999991,7.619856209,1.71964547,2.63672787,1.895130157,2.063152581,1.195436954,1.610313445,1.905372083
11,6016,7.4260768,7.465233743,1.34617576,1.348557025,1.428683996,0.719070554,1.000453413,4.903196365,0.614938438,0.53541103
12,6064,1.948942959,6.967421561,2.916533589,1.682030797,1.400259286,2.159846663,0.84162131,0.726514935,1.305218518,1.141636312
13,6066,1.426076889,6.565948784,4.996851951,5.071100503,5.032578349,1.238052338,5.061185628,5.032578349,5.061185628,4.640262544
14,7072,11.99999991,7.382994086,11.99999991,3.542330772,2.95230478,3.363246918,2.977296352,3.056974322,2.328514069,1.288549036
15,8028,7.067570508,11.99999991,2.289144605,1.52349785,0.848417222,1.242995381,0.99333322,0.642536938,1.178857148,0.957573563
16,8035,11.99999991,11.99999991,11.99999991,11.99999991,2.936527044,6.938814282,7.12433821,3.363246918,2.223611534,1.305218518
17,8063,11.99999991,1.718580902,6.633639961,2.239457756,6.674489737,1.701288253,1.964567274,2.09655118,1.875886112,1.799446374
18,8070,7.067570508,6.180012345,1.230001867,0.708987415,1.575082451,0.168794274,1.096219093,0.336677402,1.575082451,0.556633651
19,9377,11.99999991,11.99999991,3.557787806,7.220640332,2.800119996,3.392868876,2.957900494,2.194585651,3.143424422,7.150349379
