,,CS,CXS
0,2009,2.136825889,2.418747336
1,2054,2.682234585,1.904299438
2,2072,0.171193004,1.37160027
3,2081,1.521624893,0.479814023
4,3024,6.25273934,6.949904561
5,3036,1.013592303,0.988428801
6,3054,0.74690792,0.518164843
7,4005,6.610125452,6.709229589
8,4010,5.8699525,5.827048928
9,5065,6.25459522,2.017246276
10,5104,1.926959634,1.347315222
11,6016,1.017442048,4.908284694
12,6064,1.050939411,0.630859464
13,6066,5.181691498,3.166152596
14,7072,4.2829023,4.278674841
15,8028,1.307943404,0.554966867
16,8035,7.128486395,6.253366411
17,8063,1.714085728,4.698850363
18,8070,3.184877276,0.506331205
19,9377,5.649957031,3.564260811
