,ID,groups,order,active,inactive
0,2009,CS-CXS,CS first,34.0,37.5625
1,2036,CS-DCS,CS last,35.8125,24.84375
2,2054,CS-CXS,CS first,27.375,35.15625
3,2063,CS-DCXS,CS first,39.9375,36.9375
4,2072,CS-CXS,CS last,41.8125,38.375
5,2081,CS-CXS,CS last,7.875,17.90625
6,2090,CS-DCXS,CS first,43.96875,41.90625
7,3006,CS-DCXS,CS last,47.8125,41.90625
8,3012,CS-DCS,CS first,19.84375,29.8125
9,3018,CS-DCXS,CS last,41.9375,39.96875
10,3024,CS-CXS,CS first,38.53125,41.46875
11,3036,CS-CXS,CS last,24.0,29.125
12,3048,CS-DCS,CS first,7.875,7.875
13,3054,CS-CXS,CS last,15.375,23.0
14,3060,CS-DCXS,CS last,7.875,21.59375
15,4005,CS-CXS,CS last,45.9375,48.0
16,4010,CS-CXS,CS first,41.40625,45.21875
17,4015,CS-DCXS,CS first,42.0,32.0
18,4020,CS-DCXS,CS last,34.71875,30.46875
19,4025,CS-DCS,CS last,16.125,9.84375
20,4030,CS-DCS,CS first,39.46875,34.5
21,4035,CS-DCS,CS first,7.84375,14.375
22,4050,CS-DCS,CS last,30.125,41.875
23,5026,CS-DCXS,CS last,38.46875,39.0625
24,5039,CS-DCXS,CS last,36.0,46.0
25,5065,CS-CXS,CS first,43.625,45.03125
26,5091,CS-DCXS,CS first,19.75,28.59375
27,5104,CS-CXS,CS last,31.25,35.6875
28,5117,CS-DCXS,CS first,46.0,41.46875
29,5130,CS-DCXS,CS first,43.9375,39.1875
30,6008,CS-DCXS,CS first,37.96875,36.09375
31,6016,CS-CXS,CS first,7.875,7.875
32,6024,CS-DCS,CS first,9.875,9.75
33,6032,CS-DCS,CS first,29.1875,36.65625
34,6048,CS-DCXS,CS first,36.96875,32.59375
35,6064,CS-CXS,CS first,31.5,34.125
36,6066,CS-CXS,CS last,7.875,15.875
37,6072,CS-DCXS,CS last,42.0,43.96875
38,6080,CS-DCXS,CS last,42.0,39.0
39,7012,CS-DCXS,CS first,41.8125,48.0
40,7024,CS-DCS,CS last,26.59375,32.71875
41,7036,CS-DCS,CS first,36.3125,43.8125
42,7048,CS-DCS,CS first,32.5,32.5
43,7072,CS-CXS,CS last,34.78125,39.0
44,7084,CS-DCXS,CS last,41.65625,39.875
45,7096,CS-DCXS,CS last,28.8125,34.03125
46,7108,CS-DCXS,CS last,33.9375,42.96875
47,8014,CS-DCS,CS last,44.0,33.9375
48,8021,CS-DCS,CS last,34.40625,33.03125
49,8028,CS-CXS,CS last,18.40625,15.65625
50,8035,CS-CXS,CS first,39.25,45.09375
51,8042,CS-DCS,CS first,14.125,18.40625
52,8049,CS-DCXS,CS first,11.875,7.375
53,8063,CS-CXS,CS last,36.0625,39.90625
54,8070,CS-CXS,CS last,27.53125,30.78125
55,9034,CS-DCS,CS last,23.21875,17.21875
56,9068,CS-DCXS,CS last,7.875,11.875
57,9085,CS-DCS,CS first,41.71875,37.1875
58,9136,CS-DCXS,CS first,39.96875,37.9375
59,9245,CS-DCS,CS last,38.0,28.34375
60,9377,CS-CXS,CS first,45.625,42.0
